"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Dec-2024","EQ","465.50","467.90","459.15","465.25","460.85","460.60","462.32","528.50","399.35","1,28,84,401","5,95,67,25,495.60","1,65,742"
"11-Dec-2024","EQ","467.20","468.20","464.70","465.45","465.25","465.25","466.13","528.50","399.35","67,45,816","3,14,44,31,682.05","1,08,407"
"10-Dec-2024","EQ","465.35","466.45","462.60","464.95","465.35","465.45","464.64","528.50","399.35","88,23,805","4,09,99,16,466.30","1,37,180"
"09-Dec-2024","EQ","471.50","472.00","462.95","471.15","465.20","464.95","467.02","528.50","399.35","1,17,03,384","5,46,56,95,132.70","1,60,632"
"06-Dec-2024","EQ","470.00","474.95","467.70","467.50","471.95","471.15","472.38","528.50","399.35","75,51,407","3,56,71,34,560.35","1,18,458"
"05-Dec-2024","EQ","467.55","472.75","462.50","467.10","467.70","467.50","468.00","528.50","399.35","2,64,15,053","12,36,22,22,644.55","2,80,989"
"04-Dec-2024","EQ","474.40","478.20","466.40","472.55","467.20","467.10","470.88","528.50","399.35","1,34,39,484","6,32,83,46,244.15","1,84,751"
"03-Dec-2024","EQ","466.00","473.40","462.75","477.20","472.55","472.55","469.06","528.50","399.35","2,22,18,251","10,42,16,81,081.05","2,89,294"
"02-Dec-2024","EQ","476.00","479.30","473.40","476.75","477.40","477.20","476.84","528.50","399.35","54,78,598","2,61,23,98,108.20","1,05,775"
"29-Nov-2024","EQ","473.20","478.90","472.60","474.90","477.00","476.75","476.39","528.50","399.35","83,46,687","3,97,63,06,074.10","1,26,718"
"28-Nov-2024","EQ","477.00","483.80","470.55","476.95","475.55","474.90","476.02","528.50","399.35","1,44,12,539","6,86,05,90,338.25","1,97,328"
"27-Nov-2024","EQ","477.50","480.10","473.00","477.00","476.95","476.95","475.67","528.50","399.35","70,67,013","3,36,15,55,101.90","92,526"
"26-Nov-2024","EQ","480.00","482.65","474.10","476.80","477.00","477.00","476.76","528.50","399.35","65,39,846","3,11,79,27,466.80","1,24,209"
"25-Nov-2024","EQ","479.00","482.20","472.40","474.65","478.15","476.80","476.97","528.50","399.35","1,38,91,991","6,62,60,51,098.65","1,37,597"
"22-Nov-2024","EQ","456.20","476.50","455.50","457.15","474.00","474.65","465.47","528.50","399.35","1,94,64,568","9,06,02,24,659.45","1,78,132"
"21-Nov-2024","EQ","461.00","464.05","455.40","467.35","457.00","457.15","458.53","528.50","399.35","1,95,59,847","8,96,87,97,499.25","2,36,495"
"19-Nov-2024","EQ","468.00","473.75","466.25","466.55","466.60","467.35","471.03","528.50","399.35","68,57,374","3,23,00,38,399.65","1,11,105"
"18-Nov-2024","EQ","466.00","467.80","462.00","465.95","467.40","466.55","464.79","528.50","399.35","81,35,260","3,78,11,91,097.20","1,83,896"
"14-Nov-2024","EQ","471.20","472.95","462.25","472.20","467.00","465.95","465.91","528.50","399.35","1,16,39,562","5,42,29,31,558.70","2,30,824"
"13-Nov-2024","EQ","470.05","474.70","468.25","472.85","472.00","472.20","471.96","528.50","399.35","1,11,20,381","5,24,84,10,369.00","1,88,101"
